run_name,dx,d0,n_train,seed,tangent_oracle_mse_per_dim,tangent_oracle_mse_total,normal_mse,wall_time_seconds
dx128_d08_n2000_seed2,128,8,2000,2,0.17405216164588927,1.3924172931671142,9.816623521424761e-11,7.4355902671813965
dx128_d08_n50000_seed0,128,8,50000,0,0.013279353588819504,0.10623482871055603,9.78646395061178e-11,118.97121286392212
dx128_d08_n50000_seed1,128,8,50000,1,0.01515305768251419,0.12122446146011352,9.818945595346796e-11,119.4995129108429
dx128_d08_n50000_seed2,128,8,50000,2,0.013298769357800484,0.10639015486240387,1.0184894987941284e-10,176.97997069358826
dx32_d04_n10000_seed0,32,4,10000,0,0.053008072710037234,0.21203229084014893,2.007527554158395e-11,44.949562072753906
dx32_d04_n10000_seed1,32,4,10000,1,0.024849751502275468,0.09939900600910187,2.0179752079421686e-11,35.01003289222717
dx32_d04_n10000_seed2,32,4,10000,2,0.028627748939394952,0.11451099575757981,2.0076651752881646e-11,23.03367018699646
dx32_d04_n2000_seed0,32,4,2000,0,0.12773430318832396,0.5109372127532958,2.008836665623459e-11,12.367881536483765
dx32_d04_n2000_seed1,32,4,2000,1,0.10855207679271699,0.43420830717086795,2.005097234532294e-11,9.519209861755371
dx32_d04_n2000_seed2,32,4,2000,2,0.0851686775803566,0.3406747103214264,2.0133176250117236e-11,9.778337478637695
dx32_d04_n50000_seed0,32,4,50000,0,0.014680761882662773,0.05872304753065109,2.018300768943937e-11,158.0206379890442
dx32_d04_n50000_seed1,32,4,50000,1,0.01329277921617031,0.05317111686468124,2.0150780393607404e-11,381.50205183029175
dx32_d04_n50000_seed2,32,4,50000,2,0.015628002153337,0.062512008613348,2.0124902127757748e-11,208.93249702453613
dx512_d04_n10000_seed0,512,4,10000,0,0.028547440880537032,0.11418976352214813,2.3739455192739457e-10,58.83135175704956
dx512_d04_n10000_seed1,512,4,10000,1,0.029632478922605513,0.11852991569042205,2.3689197088394566e-10,46.022138833999634
dx512_d04_n10000_seed2,512,4,10000,2,0.02385526762008667,0.09542107048034668,2.3682983543160675e-10,28.26649761199951
dx512_d04_n2000_seed0,512,4,2000,0,0.12866054668426513,0.5146421867370605,2.374649931358164e-10,12.824872732162476
dx512_d04_n2000_seed1,512,4,2000,1,0.10419320918321609,0.41677283673286436,2.371799569633737e-10,16.682425260543823
dx512_d04_n2000_seed2,512,4,2000,2,0.0960377736210823,0.3841510944843292,2.363292659790517e-10,13.3424813747406
dx512_d04_n50000_seed0,512,4,50000,0,0.010656540529429912,0.04262616211771965,2.36411405030168e-10,200.8961057662964
dx512_d04_n50000_seed1,512,4,50000,1,0.011859905728697776,0.047439622914791105,2.3700068707555033e-10,270.61688208580017
dx512_d04_n50000_seed2,512,4,50000,2,0.010289749594032765,0.04115899837613106,2.381489111691337e-10,184.8405830860138
